id,project_id,user_id,hours_worked,entry_date
71,3639,61,2.08,2022-06-16
72,3441,29,2.66,2022-10-03
73,511,66,7.42,2022-03-23
74,564,67,7.57,2021-11-21
75,2004,6,9.07,2023-01-27
76,2570,22,6.92,2023-06-16
77,48,88,8.8,2023-12-31
78,3514,13,3.33,2023-04-10
79,2346,19,1.31,2023-09-11
80,3439,83,6.24,2023-03-31
81,1683,25,9.93,2021-03-22
82,1880,7,8.92,2020-12-24
83,4383,35,5.72,2022-01-22
84,976,27,2.56,2020-02-15
85,2695,71,4.22,2023-12-03
86,3161,14,4.94,2024-04-02
87,1754,23,2.88,2020-03-17
88,1783,45,2.84,2025-03-26
89,39,40,6.93,2023-12-20
90,2544,48,1.11,2022-05-02
91,3847,99,4.94,2023-05-18
92,2825,94,7.65,2023-08-27
93,4175,64,5.21,2021-03-31
94,1208,8,9.4,2020-02-13
95,1123,31,2.61,2023-06-22
96,698,11,4.85,2023-05-03
97,1876,10,4.87,2020-01-20
98,3088,23,7.63,2023-07-13
99,68,4,9.5,2025-02-09
100,257,7,8.58,2022-11-12
101,3509,69,3.09,2023-02-09
102,1171,11,2.47,2022-02-05
103,2403,5,1.1,2024-12-28
104,1867,97,2.15,2022-11-12
105,47,23,9.14,2020-06-25
106,1233,3,3.51,2024-11-02
107,4925,38,6.06,2023-01-18
108,4147,52,1.88,2022-08-24
109,2308,28,2.18,2023-07-27
110,752,14,4.02,2021-03-24
111,46,14,4.26,2020-01-16
112,4768,77,2.28,2023-11-21
113,2283,25,5.16,2022-11-06
114,2440,35,6.49,2025-02-09
115,2556,38,7.72,2021-12-14
116,1840,38,5.57,2024-04-03
117,3059,61,8.5,2024-07-08
118,953,13,9.91,2022-07-21
119,4207,3,8.38,2023-02-13
120,2877,8,9.92,2020-02-23
121,2517,43,7.64,2025-01-25
122,4370,59,5.94,2021-11-28
123,2846,20,5.93,2020-01-26
124,2617,60,6.8,2023-03-04
125,4405,87,7.64,2021-08-18
126,4123,71,4.8,2022-11-28
127,2055,56,3.52,2021-08-31
128,1234,2,9.64,2024-03-15
129,3694,49,5.15,2022-05-23
130,2584,80,7.8,2022-01-27
131,3761,56,1.63,2022-04-12
132,1672,56,9.78,2022-02-23
133,619,18,3.1,2021-02-04
134,1882,96,9.43,2023-02-09
135,4243,24,6.81,2023-03-24
136,965,80,5.53,2024-07-06
137,1886,44,1.73,2022-01-18
138,1360,22,6.64,2023-07-21
139,2943,38,2.55,2023-05-31
140,2741,41,4.41,2020-10-08
141,585,98,9.51,2023-08-20
142,2434,71,6.36,2023-10-16
143,417,92,5.26,2020-07-02
144,2007,86,1.74,2020-07-13
145,3944,10,6.56,2022-01-16
146,100,67,5.15,2024-05-25
147,3888,55,6.24,2020-10-15
148,2891,50,5.99,2022-06-20
149,1705,72,6.01,2021-06-09
150,88,52,8.38,2021-05-12
151,3308,25,9.4,2023-03-08
152,2697,51,5.09,2021-05-30
153,477,8,1.8,2020-01-29
154,392,12,1.92,2021-12-09
155,3151,45,3.53,2020-03-16
156,1277,88,3.5,2024-08-15
157,3223,10,7.55,2023-06-06
158,661,16,5.83,2021-12-26
159,4631,45,6.03,2024-04-23
160,3884,36,8.1,2021-05-23
161,1002,81,7.73,2022-08-01
162,3508,85,9.92,2022-07-09
163,3881,47,9.96,2025-01-13
164,2237,92,5.43,2024-11-05
165,4097,89,9.09,2021-10-29
166,1948,25,9.82,2020-06-18
167,3449,35,5.51,2022-01-30
168,3443,59,2.64,2023-02-21
169,1231,14,5.71,2023-12-23
170,3735,84,5.02,2024-10-14
171,3177,60,2.6,2022-02-14
172,3542,7,1.38,2021-09-17
173,1181,83,5.81,2024-06-02
174,1365,80,8.18,2024-08-11
175,4081,22,4.33,2023-07-22
176,430,30,2.58,2021-07-06
177,4753,55,6.85,2021-05-18
178,2536,54,2.73,2024-08-28
179,3513,36,9.7,2021-10-29
180,3293,70,7.1,2020-03-16
181,4269,55,9.7,2021-02-12
182,2324,85,7.17,2022-05-23
183,4727,53,2.67,2020-12-19
184,930,37,7.71,2022-01-05
185,4477,98,2.97,2024-10-13
186,4329,29,5.51,2021-03-04
187,1641,45,5.87,2022-11-14
188,215,98,8.62,2021-11-20
189,4034,23,3.19,2021-06-24
190,1389,37,2.71,2023-07-13
191,3316,51,7.48,2024-04-06
192,2408,58,3.97,2023-05-29
193,755,2,6.24,2024-06-18
194,4021,34,4.65,2021-05-18
195,3910,51,1.04,2024-09-02
196,575,78,9.57,2024-04-21
197,2725,33,2.77,2020-06-30
198,3685,56,6.93,2022-05-12
199,3448,14,1.61,2020-09-27
200,2403,20,3.51,2022-09-19
201,1935,1,4.18,2024-11-03
202,2050,45,9.42,2021-12-18
203,3004,96,3.43,2024-02-03
204,977,95,2.36,2023-10-15
205,1606,30,7.37,2023-06-29
206,3419,81,3.98,2021-11-21
207,2043,46,4.79,2020-12-26
208,2636,55,7.05,2024-02-13
209,1664,7,8.14,2024-01-20
210,3804,56,9.13,2024-10-13
211,4175,36,4.51,2022-01-01
212,502,41,1.42,2024-03-17
213,2370,15,6.38,2024-10-07
214,2624,17,3.77,2024-11-18
215,4926,55,8.76,2023-10-07
216,1622,37,9.16,2022-04-24
217,3509,29,8.2,2021-09-18
218,19,97,1.41,2025-01-29
219,2808,5,2.06,2020-07-15
220,884,5,3.47,2024-12-13
221,3530,54,4.47,2022-10-05
222,515,70,2.41,2023-12-17
223,2611,1,4.08,2021-06-23
224,3019,60,2.83,2025-01-17
225,1254,97,6.55,2024-09-09
226,2080,80,2.48,2022-10-26
227,4617,35,6.96,2022-04-03
228,1666,81,5.78,2022-11-17
229,1045,12,8.78,2024-01-28
230,593,69,4.51,2023-10-04
231,1527,76,1.62,2023-03-27
232,650,43,8.16,2023-02-06
233,2157,38,6.05,2022-06-08
234,4531,37,8.75,2021-04-20
235,4884,43,9.16,2020-09-06
236,544,73,9.15,2021-10-14
237,3375,85,8.82,2022-12-29
238,2874,10,5.67,2021-02-25
239,402,61,1.48,2022-11-19
240,4545,68,4.74,2024-08-10
241,1279,1,3.37,2020-05-28
242,3630,72,9.54,2023-01-26
243,4822,27,5.65,2021-08-08
244,3208,44,3.98,2023-05-27
245,4211,67,1.33,2020-01-31
246,3673,38,1.8,2023-05-14
247,1062,3,3.14,2020-02-06
248,1383,78,2.92,2021-07-18
249,2203,53,8.47,2025-02-21
250,2079,8,1.69,2022-12-21
251,1489,32,3.49,2021-10-29
252,4446,11,8.64,2023-11-13
253,1432,11,8.04,2021-06-07
254,4188,1,3.38,2023-04-27
255,3946,37,3.72,2024-06-28
256,264,79,8.02,2023-10-24
257,3777,91,4.55,2022-01-10
258,179,96,8.31,2020-04-15
259,4570,43,9.36,2022-06-15
260,1281,25,4.71,2020-08-14
261,398,9,5.76,2024-05-21
262,2613,26,6.29,2021-11-10
263,1574,35,9.02,2022-02-09
264,2981,12,7.75,2022-10-07
265,2632,20,7.21,2022-03-11
266,427,58,2.45,2023-02-12
267,741,56,2.35,2022-02-24
268,140,75,7.55,2024-09-20
269,638,50,6.46,2023-09-24
270,4298,41,1.31,2022-11-28
271,2858,72,2.27,2024-11-15
272,2102,53,7.8,2023-03-11
273,3532,29,9.13,2023-01-23
274,3037,65,1.05,2023-06-11
275,2349,16,7.64,2022-08-12
276,2631,72,2.13,2021-06-22
277,3489,35,4.23,2025-03-26
278,909,33,3.97,2024-11-16
279,4443,50,9.59,2022-07-07
280,765,89,5.75,2024-07-01
281,2964,7,2.72,2024-04-15
282,2897,85,1.82,2024-09-14
283,844,95,2.23,2022-02-03
284,480,40,6.27,2022-11-01
285,4868,36,8.05,2021-12-13
286,525,12,5.88,2025-01-13
287,3236,82,9.05,2020-03-13
288,3148,4,8.99,2023-10-24
289,1274,66,6.72,2022-07-14
290,2361,38,2.87,2024-07-27
291,3989,63,8.39,2024-12-31
292,1548,85,9.34,2024-01-09
293,1251,99,3.26,2025-02-24
294,4525,90,9.11,2021-06-20
295,2545,54,3.06,2023-02-06
296,4029,85,8.6,2022-03-14
297,2578,56,4.42,2020-10-05
298,3472,94,2.1,2023-01-15
299,2231,7,7.07,2020-06-21
300,2722,24,6.03,2020-03-28
301,3873,86,6.97,2022-01-03
302,91,95,3.87,2023-12-30
303,1494,93,6.38,2021-04-27
304,298,64,2.89,2024-02-16
305,1372,38,8.39,2020-05-05
306,3636,63,8.68,2024-08-24
307,3842,20,1.74,2023-10-09
308,3759,16,2.21,2023-09-28
309,1990,15,6.21,2023-03-21
310,3827,5,9.77,2023-09-01
311,2200,100,3.43,2022-12-03
312,3360,13,6.28,2023-07-27
313,3560,48,9.87,2022-09-21
314,3229,77,3.71,2023-06-04
315,3484,86,7.37,2022-09-09
316,1494,25,2.11,2023-12-18
317,1313,71,8.69,2021-04-01
318,1105,90,9.5,2022-08-08
319,4729,97,8.67,2024-08-02
320,1110,99,6.51,2020-11-14
321,2419,14,2.3,2022-11-17
322,1895,92,8.14,2024-06-24
323,2578,28,6.24,2020-02-03
324,3799,52,1.89,2021-11-12
325,4687,80,8.42,2024-01-08
326,3432,5,6.9,2024-03-25
327,2301,54,9.14,2024-07-26
328,2869,71,1.6,2020-06-20
329,904,87,5.4,2020-11-06
330,1787,40,6.07,2023-11-06
331,3355,79,4.31,2025-02-08
332,3741,80,8.05,2022-02-01
333,2946,15,4.1,2022-10-13
334,3435,15,6.92,2020-09-27
335,931,30,8.8,2020-07-25
336,4173,22,7.64,2024-07-31
337,4134,3,8.54,2021-02-20
338,274,67,4.35,2020-02-29
339,4129,59,3.25,2020-02-10
340,3689,74,7.38,2022-09-14
341,2836,27,8.62,2022-07-17
342,2080,98,6.41,2021-09-10
343,572,13,4.4,2024-04-09
344,3084,65,7.05,2023-06-06
345,2607,61,5.16,2024-07-14
346,2825,82,8.04,2024-09-08
347,2153,25,1.58,2022-06-20
348,1826,91,2.64,2025-03-05
349,1602,16,9.88,2023-12-20
350,3798,77,8.22,2022-02-11
351,862,52,5.99,2022-11-12
352,4993,66,5.96,2023-12-02
353,1795,14,4.44,2020-07-20
354,1101,48,7.19,2022-02-15
355,564,70,2.74,2021-08-08
356,2301,100,4.48,2023-07-09
357,4549,80,7.46,2020-05-28
358,1876,13,1.78,2024-05-13
359,4616,98,5.76,2020-06-08
360,713,26,9.97,2020-12-28
361,694,71,2.72,2021-02-04
362,2505,45,6.74,2023-06-05
363,2665,89,3.71,2021-03-21
364,2697,39,3.21,2023-01-11
365,2913,28,5.28,2022-04-21
366,544,67,6.06,2024-09-13
367,1937,98,7.26,2021-07-26
368,4899,73,8.44,2024-06-26
369,3519,27,4.7,2020-04-20
370,1540,15,5.65,2025-02-28
371,2718,32,8.28,2023-07-24
372,3945,99,2.9,2022-11-26
373,2244,13,7.59,2021-01-30
374,2006,32,2.4,2020-06-03
375,2134,5,9.89,2021-07-08
376,961,68,8.96,2022-01-20
377,996,9,7.97,2020-11-14
378,206,84,8.86,2020-07-31
379,656,84,2.15,2022-07-14
380,1763,19,4.68,2022-08-16
381,943,83,2.52,2025-02-23
382,472,85,7.53,2022-03-19
383,2799,63,3.21,2024-11-04
384,3002,64,5.1,2020-03-04
385,1455,65,5.54,2025-02-12
386,474,19,7.81,2024-10-19
387,4156,96,4.45,2024-11-11
388,4414,21,2.12,2023-10-01
389,545,44,2.12,2024-05-02
390,882,14,5.48,2020-06-27
391,2610,12,1.28,2021-05-22
392,3308,71,6.71,2020-09-09
393,4463,33,7.47,2023-12-24
394,1610,11,1.2,2020-03-09
395,1034,38,9.44,2020-08-10
396,1936,62,2.12,2024-09-09
397,1337,95,4.78,2024-08-08
398,1047,28,3.33,2021-06-18
399,4590,79,5.5,2023-05-16
400,3079,12,4.38,2020-04-27
401,2426,86,1.22,2024-04-05
402,2927,27,5.75,2023-10-11
403,3351,11,7.43,2023-07-22
404,217,29,4.88,2020-05-29
405,4916,76,3.69,2020-12-20
406,3902,67,9.55,2021-08-25
407,1723,71,9.38,2024-07-01
408,4224,19,1.77,2024-07-29
409,4707,66,6.58,2023-04-01
410,1270,8,4.16,2022-03-23
411,4313,48,6.14,2021-09-04
412,2733,54,7.35,2021-07-13
413,1691,9,1.03,2023-06-16
414,2242,3,8.06,2024-10-06
415,3040,20,2.85,2020-10-16
416,4348,33,7.51,2022-01-25
417,2429,85,3.03,2022-12-26
418,112,76,1.74,2023-11-17
419,3830,48,3.78,2023-08-01
420,4232,49,4.03,2021-11-18
421,1354,100,9.82,2024-06-30
422,3605,74,9.44,2021-11-10
423,262,70,3.6,2024-04-04
424,155,90,1.79,2020-02-10
425,4901,96,1.32,2024-09-06
426,828,23,3.34,2022-11-07
427,4750,38,7.79,2022-11-10
428,4701,18,1.01,2022-06-27
429,1658,83,1.79,2024-05-16
430,1361,41,1.04,2024-05-08
431,986,71,2.64,2023-11-26
432,4874,20,8.9,2022-06-21
433,696,8,3.22,2024-02-10
434,1573,33,9.18,2023-09-10
435,2448,84,4.55,2023-02-03
436,1277,72,9.87,2025-01-22
437,3732,40,8.56,2021-11-06
438,4610,84,1.88,2021-07-27
439,3248,85,5.38,2023-08-01
440,4838,19,6.69,2022-03-23
441,1036,45,8.03,2020-10-29
442,1093,34,6.25,2023-03-31
443,2199,36,2.17,2020-02-26
444,978,23,2.29,2021-05-14
445,2520,83,9.02,2024-04-20
446,3903,84,8.94,2022-06-05
447,708,40,3.15,2020-09-20
448,927,92,7.5,2023-04-18
449,4596,76,4.65,2024-06-27
450,1251,3,5.19,2023-10-24
451,3700,35,5.19,2020-12-04
452,3568,73,6.27,2024-09-27
453,4802,25,8.47,2020-09-25
454,3702,93,1.37,2025-03-12
455,773,50,3.6,2020-09-10
456,3035,48,6.43,2021-11-27
457,4587,12,3.63,2021-05-24
458,4660,34,4.53,2022-07-24
459,1247,58,3.02,2022-05-12
460,1755,74,5.85,2022-10-19
461,4518,73,1.54,2021-10-12
462,4943,38,5.11,2020-03-25
463,4192,66,2.6,2022-05-23
464,989,25,5.87,2021-11-08
465,3752,90,1.33,2022-03-22
466,4442,94,3.72,2020-04-24
467,1982,64,1.63,2020-07-05
468,173,51,1.78,2020-05-30
469,463,3,9.05,2020-01-20
470,2982,10,6.89,2024-11-02
471,1620,57,4.35,2020-12-23
472,3974,39,5.36,2024-08-31
473,2319,94,1.53,2021-04-13
474,4908,82,6.02,2023-06-28
475,2772,86,8.34,2024-07-28
476,2167,46,7.63,2022-09-24
477,4004,10,5.08,2025-02-10
478,4499,76,7.13,2021-07-17
479,3813,34,9.66,2024-09-09
480,2765,84,7.69,2024-10-19
481,2574,59,7.63,2023-08-04
482,3526,68,2.39,2022-12-25
483,3947,10,3.15,2021-10-17
484,2826,95,3.82,2025-03-03
485,4890,46,6.16,2020-05-21
486,3985,92,3.33,2024-08-17
487,2654,2,1.72,2023-03-15
488,4252,19,9.2,2025-02-09
489,2358,20,6.35,2022-03-05
490,2381,60,4.25,2021-06-11
491,3382,27,1.2,2020-12-29
492,2762,37,5.87,2020-05-03
493,3638,20,9.8,2023-01-16
494,1914,16,7.91,2021-09-08
495,84,31,2.51,2020-12-26
496,4893,29,6.05,2021-02-03
497,3405,70,1.32,2024-06-18
498,409,78,3.71,2022-03-04
499,2448,63,2.18,2025-01-14
500,4109,49,2.53,2024-06-29
501,3515,79,3.7,2022-12-17
502,901,54,8.11,2020-10-15
503,3313,31,1.73,2023-01-14
504,3851,29,6.96,2022-04-10
505,890,83,3.59,2023-11-22
506,2011,35,9.44,2020-12-16
507,4684,87,3.5,2022-09-15
508,561,60,2.85,2021-04-21
509,4328,94,1.61,2020-09-01
510,4507,34,6.03,2021-11-19
511,4103,50,9.82,2023-01-03
512,3966,65,6.02,2022-11-12
513,2945,76,8.7,2024-02-29
514,4027,32,1.05,2022-02-03
515,3271,43,5.23,2023-02-22
516,1752,80,9.33,2020-07-16
517,465,75,4.68,2023-12-21
518,2519,45,9.85,2024-05-05
519,4662,36,2.16,2024-02-13
520,3935,25,6.61,2025-03-26
521,4182,62,6.65,2020-11-01
522,2134,55,9.02,2024-09-04
523,1728,96,5.27,2023-05-24
524,2648,52,3.01,2024-07-30
525,2873,78,3.87,2021-02-15
526,4788,73,8.84,2022-09-14
527,1457,7,5.68,2024-10-02
528,3296,67,4.56,2023-08-27
529,1799,19,2.14,2023-03-29
530,2119,10,6.65,2021-12-22
531,3680,25,7.26,2023-08-31
532,2436,85,3.09,2024-10-01
533,3800,17,7.25,2021-12-10
534,4563,29,4.51,2024-05-10
535,4058,92,8.65,2024-07-16
536,3934,88,7.72,2025-01-26
537,1294,73,6.16,2020-04-01
538,3076,7,7.66,2023-04-03
539,1813,33,6.88,2022-12-11
540,2126,94,6.02,2022-02-01
541,3451,41,5.52,2024-03-15
542,4976,56,1.43,2024-02-08
543,4757,28,7.95,2022-05-08
544,2664,100,1.19,2023-11-23
545,241,26,4.66,2020-11-27
546,1354,79,6.03,2022-06-15
547,4673,47,4.77,2021-02-05
548,2907,8,9.72,2023-10-07
549,1273,74,1.03,2023-06-17
550,1697,36,5.13,2024-09-16
551,1705,28,9.42,2024-11-12
552,2749,5,3.66,2025-02-21
553,1782,96,7.23,2021-03-09
554,573,14,4.76,2024-08-06
555,4707,22,1.71,2020-07-10
556,2949,81,3.59,2020-05-04
557,4287,35,1.91,2025-03-23
558,4709,73,5.12,2025-01-21
559,2187,77,6.7,2023-02-12
560,878,34,3.1,2021-03-15
561,1115,13,6.09,2024-10-25
562,1647,54,7.99,2022-08-01
563,4677,72,2.97,2021-11-25
564,1336,62,9.69,2023-08-19
565,2542,46,4.54,2022-10-10
566,3959,38,8.12,2022-03-01
567,424,62,3.12,2023-01-15
568,164,57,5.84,2022-05-04
569,2695,6,1.37,2021-07-28
570,4963,27,4.91,2020-09-08
571,3105,29,1.14,2021-05-12
572,2048,87,9.58,2020-11-11
573,3452,60,6.27,2021-07-18
574,2724,47,3.1,2023-02-12
575,2128,68,7.39,2022-05-05
576,4522,5,4.18,2024-12-20
577,1501,40,8.06,2022-10-23
578,4097,60,6.55,2021-03-06
579,1206,70,4.29,2023-04-16
580,1233,27,1.61,2020-12-23
581,2594,5,3.06,2021-11-28
582,1445,40,6.5,2024-03-11
583,4529,71,3.77,2020-07-31
584,1986,55,6.12,2022-01-23
585,2509,91,8.3,2020-06-06
586,3500,44,3.35,2024-01-24
587,1668,30,4.74,2023-11-19
588,2717,20,6.09,2024-03-30
589,3821,93,5.68,2024-05-20
590,4190,94,5.17,2021-06-05
591,3837,67,4.89,2022-11-07
592,4860,34,8.87,2021-08-08
593,4718,9,9.78,2021-05-26
594,3605,36,3.08,2022-06-24
595,2826,2,5.41,2020-09-05
596,4664,11,5.52,2021-10-17
597,1359,49,4.38,2021-10-10
598,1537,8,4.74,2020-01-23
599,1338,61,8.19,2020-03-27
600,3394,23,8.35,2020-10-20
601,4098,14,3.28,2020-03-27
602,4199,31,4.33,2022-08-25
603,4186,88,9.59,2021-04-28
604,755,56,5.3,2024-09-02
605,4606,75,7.79,2023-09-21
606,1086,89,9.65,2023-03-18
607,2609,75,2.04,2023-01-22
608,723,97,7.45,2025-02-07
609,4724,92,4.83,2023-05-07
610,4868,93,1.67,2023-05-20
611,2364,43,2.19,2021-05-30
612,890,59,5.26,2023-02-06
613,1622,69,7.61,2022-07-21
614,2170,28,1.68,2024-07-08
615,2667,69,6.48,2021-10-05
616,4345,34,1.31,2021-05-21
617,473,71,7.51,2024-03-08
618,2810,58,5.14,2022-11-05
619,1467,86,4.69,2020-04-21
620,2678,24,8.09,2024-05-30
621,4600,22,4.03,2024-01-12
622,3840,77,1.76,2022-08-26
623,1376,63,6.3,2023-09-06
624,4628,18,8.7,2022-09-03
625,4208,93,7.61,2023-03-07
626,1673,80,8.52,2024-10-23
627,3750,71,8.49,2023-04-28
628,790,35,2.55,2024-12-04
629,212,64,9.8,2024-10-16
630,4255,26,9.06,2020-11-30
631,3930,81,6.74,2021-03-13
632,4407,86,4.19,2021-08-03
633,4209,48,8.48,2020-04-07
634,3647,69,4.9,2021-04-25
635,3,22,9.35,2020-12-06
636,3420,54,9.37,2023-02-22
637,4874,100,3.08,2021-02-20
638,3887,11,8.42,2023-03-12
639,441,49,7.91,2021-11-24
640,824,19,4.83,2025-01-05
641,1887,4,9.91,2025-02-16
642,4041,66,7.81,2021-03-19
643,4924,90,7.42,2021-01-30
644,1604,62,8.5,2023-09-01
645,2921,8,3.62,2021-09-10
646,1949,78,2.27,2020-10-26
647,625,58,4.68,2020-07-05
648,4099,93,6.89,2021-11-26
649,4246,93,8.52,2020-07-20
650,1149,51,9.11,2023-05-01
651,4597,2,1.93,2024-12-21
652,4720,78,8.01,2022-07-21
653,1094,10,7.03,2022-08-18
654,4925,74,5.61,2023-05-06
655,1732,40,1.07,2021-02-03
656,2477,91,1.84,2022-10-21
657,2568,97,2.09,2024-05-06
658,1516,18,6.39,2023-06-16
659,4019,12,6.96,2025-02-25
660,4162,73,9.76,2024-10-06
661,3652,1,6.52,2021-11-18
662,4990,27,8.71,2022-04-05
663,4827,57,8.89,2023-07-04
664,2339,69,9.83,2023-05-10
665,2874,22,3.94,2024-09-05
666,2641,50,2.09,2020-12-28
667,719,94,8.12,2025-03-29
668,4930,34,4.53,2020-04-29
669,4474,73,9.03,2023-01-26
670,2805,57,9.79,2022-12-21
671,1176,41,5.87,2024-03-23
672,4969,34,6.46,2020-05-20
673,3886,48,4.4,2025-02-28
674,4635,31,9.71,2022-08-03
675,3132,38,8.44,2025-03-27
676,3297,9,7.63,2023-01-30
677,2492,78,4.13,2024-07-29
678,1413,62,6.7,2025-01-12
679,4112,19,9.96,2024-09-25
680,3760,25,4.1,2021-06-03
681,1440,40,3.2,2024-06-21
682,4290,31,9.54,2020-08-24
683,4937,52,6.42,2021-11-20
684,3548,23,5.46,2021-01-22
685,4799,26,3.38,2020-09-23
686,2300,67,1.38,2023-05-04
687,3467,57,1.74,2021-05-21
688,1608,76,5.3,2024-03-01
689,3787,65,8.24,2023-10-10
690,2058,52,2.91,2024-10-28
691,3046,9,1.94,2022-01-04
692,4292,49,2.81,2022-03-08
693,1906,65,3.91,2024-08-03
694,385,32,3.83,2021-02-11
695,3727,90,2.88,2021-06-02
696,4363,74,6.12,2023-02-01
697,347,70,5.06,2023-03-06
698,254,44,8.88,2020-01-06
699,4667,85,2.41,2023-06-08
700,3917,32,6.28,2024-05-21
701,4613,50,6.35,2023-03-19
702,338,9,7.58,2021-04-27
703,4732,49,6.66,2021-11-05
704,3168,5,3.17,2024-02-25
705,1463,93,8.77,2020-01-19
706,554,11,3.21,2022-11-24
707,2056,64,2.77,2021-10-26
708,3739,98,2.25,2021-07-01
709,3496,29,7.24,2021-09-29
710,3746,98,3.57,2021-03-11
711,866,51,7.92,2022-05-03
712,3873,20,7.4,2022-06-06
713,3075,92,7.53,2022-01-23
714,866,40,1.59,2023-12-23
715,3665,32,6.49,2023-03-30
716,3958,12,9.52,2024-02-16
717,35,65,5.99,2022-06-13
718,1234,61,9.28,2022-11-01
719,1039,65,1.11,2022-03-19
720,3351,54,5.76,2021-10-12
721,4489,82,2.11,2023-02-02
722,4163,58,5.68,2024-04-22
723,4425,17,2.36,2023-12-22
724,19,86,9.27,2021-08-11
725,3021,19,1.99,2024-08-20
726,1821,5,3.99,2023-06-12
727,4387,91,1.4,2024-05-31
728,3250,49,1.26,2024-09-29
729,155,76,4.99,2021-08-15
730,3453,78,3.42,2023-07-26
731,1470,2,2.38,2023-11-20
732,3849,89,5.35,2020-02-04
733,1896,22,9.88,2021-03-21
734,3609,41,8.93,2025-03-30
735,4765,66,4.92,2024-08-15
736,191,71,5.22,2022-08-04
737,1105,31,2.28,2024-03-07
738,2193,29,4.68,2021-04-02
739,1351,12,2.61,2024-12-11
740,772,57,7.22,2024-09-30
741,1844,71,7.05,2021-03-14
742,987,84,1.05,2025-01-08
743,4686,52,2.53,2021-06-24
744,318,97,9.79,2020-02-02
745,4482,28,5.76,2020-08-31
746,2348,38,7.47,2023-06-16
747,1451,88,5.77,2023-06-06
748,3285,82,8.34,2024-03-06
749,4996,65,4.99,2024-08-13
750,2218,69,1.01,2020-06-19
751,4033,28,6.21,2020-09-14
752,1125,62,2.92,2023-01-31
753,2927,92,7.69,2020-09-01
754,1435,10,1.43,2021-06-26
755,625,17,2.62,2022-10-19
756,1652,79,1.34,2022-03-22
757,3119,58,6.62,2021-04-28
758,3877,21,4.4,2020-10-10
759,4100,25,4.95,2023-04-02
760,1514,11,8.54,2022-06-01
761,2114,28,2.08,2023-11-09
762,1031,38,6.47,2021-09-20
763,1225,54,1.82,2021-03-12
764,1276,35,7.55,2021-10-24
765,2198,24,7.8,2024-07-17
766,1034,42,8.95,2021-11-02
767,2584,46,8.16,2024-12-07
768,158,97,3.69,2023-07-11
769,4656,32,5.11,2023-08-27
770,2415,33,7.2,2023-05-05
771,1381,40,7.91,2021-12-08
772,4041,52,8.5,2020-08-13
773,4243,94,5.91,2022-06-17
774,2259,68,9.25,2023-04-07
775,1868,95,3.18,2023-12-23
776,3719,44,2.17,2023-03-03
777,1268,16,1.13,2020-04-30
778,95,2,1.35,2021-07-26
779,4715,40,1.14,2023-03-07
780,2986,29,5.41,2024-10-06
781,4502,51,7.02,2021-07-14
782,3432,70,9.38,2020-08-25
